         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask   duJy_new
57862.510937 18.786693      NaN   44    22 c    0   1.01 210.91068 54.31167  3561.94  6992.78 3.72 3.61  84.8 -0.412    18.74 20.17 02a57862o0591c   524288  26.861815
57862.522570 18.720295      NaN   45    24 c    0   0.98 210.91068 54.31167  3585.91  6874.33 3.74 3.65  72.0 -0.401    18.68 20.07 02a57862o0615c        0  28.522923
57862.530436 19.351140      NaN    5    20 c    0   1.54 210.91068 54.31167  3552.81  6933.24 3.69 3.59  76.2 -0.414    18.67 20.02 02a57862o0631c   524288  25.249893
57870.492158 19.719755      NaN   10    12 c    0   1.09 210.91068 54.31167  1900.16  8600.98 2.43 2.27   7.5 -0.466    19.53 20.68 02a57870o0440c        0  19.533487
57870.509600 20.103715      NaN  -12    11 c    0   1.31 210.91068 54.31167  1876.98  8563.04 2.44 2.28   5.7 -0.462    19.48 20.63 02a57870o0473c        0  18.935604
57870.517991 20.103715      NaN  -11    11 c    0   1.21 210.91068 54.31167  1932.25  8635.02 2.46 2.31   7.0 -0.469    19.46 20.60 02a57870o0489c        0  18.935604
57870.530201 19.472870      NaN   22    12 c    0   0.95 210.91068 54.31167  1957.93  8517.51 2.48 2.35   1.2 -0.461    19.42 20.58 02a57870o0512c        0  19.533487
57870.541671 19.922338      NaN   -7    13 c    0   0.92 210.91068 54.31167  1925.17  8575.19 2.47 2.35   0.6 -0.466    19.42 20.55 02a57870o0534c        0  20.163261
57894.386745 20.103715      NaN   -1    11 c    0   1.70 210.91068 54.31167  1323.19  9775.46 2.54 2.33 -11.6 -0.463    19.65 21.54 02a57894o0292c        0  18.935604
57894.416893 19.950541      NaN   10     9 c    0   1.77 210.91068 54.31167  1300.12  9734.71 2.59 2.35 -13.9 -0.468    19.81 21.74 02a57894o0349c   524288  17.848168
57894.419529 19.743105      NaN    9    12 c    0   0.98 210.91068 54.31167  1357.58  9806.98 2.58 2.37  -6.4 -0.467    19.78 21.70 02a57894o0354c        0  19.533487
57894.441778 20.103715      NaN   -1    11 c    0   1.19 210.91068 54.31167  1372.07  9687.12 2.54 2.29  -7.6 -0.473    19.68 21.53 02a57894o0396c  4194560  18.935604
57894.453543 19.652575      NaN   13    12 c    0   1.93 210.91068 54.31167  1337.00  9746.27 2.53 2.30  -4.4 -0.474    19.49 21.27 02a57894o0418c   524288  19.533487
57898.389114 19.491430      NaN   24    11 c    0   1.22 210.91068 54.31167  1858.37  8725.79 2.66 2.37  -5.3 -0.481    19.73 21.69 02a57898o0138c        0  18.935604
57898.398663 20.321591      NaN   -1     9 c    0   1.66 210.91068 54.31167  1834.73  8685.79 2.48 2.29  -0.9 -0.503    19.78 21.72 02a57898o0156c        0  17.848168
57898.417223 20.103715      NaN   -2    11 c    0   1.42 210.91068 54.31167  1890.24  8759.63 2.59 2.34 -12.0 -0.486    19.75 21.68 02a57898o0191c        0  18.935604
57898.437402 20.103715      NaN   -4    11 c    0   1.08 210.91068 54.31167  1916.17  8638.90 2.46 2.24   1.9 -0.503    19.75 21.62 02a57898o0229c        0  18.935604
